EART,SCC,PSCC,MoScc200,Mast,MastEvs,MasTrtLif,DMAST,LastCul,LACT,MILK,Repro,DCC,DIM,TDAT
5570,2599,27,,Cure,2,,11/5/2024,No Growth,4,149,Bred,,72,11/4/2024
5646,2263,1056,1,New Infection,1,,8/24/2024,Entrerococcus,3,106,Open,,173,11/4/2024
5451,1493,66,1,New Infection,1,,11/8/2024,Staph species,5,131,Bred,,126,11/4/2024
5958,919,57,3,Chronic,2,,12/1/2024,No Growth,1,102,Bred,,97,11/4/2024
5936,528,429,,Uninfected,1,,6/14/2024,Staph species,1,69,Bred,,177,11/4/2024
11538,492,800,,Uninfected,0,,,Pseudomonas,5,135,Bred,,66,11/4/2024
5729,373,141,1,New Infection,2,,10/18/2024,No Growth,2,85,Preg,213,364,11/4/2024
5447,348,38,1,New Infection,0,,,No Growth,5,127,Bred,,78,11/4/2024
5591,348,115,,Uninfected,0,,,No Growth,3,59,Dry,269,347,8/21/2024
5907,348,528,,Uninfected,1,,9/1/2024,No Growth,1,76,Preg,136,276,11/4/2024
5479,283,141,3,Chronic,1,,11/17/2023,No Growth,4,70,Dry,269,373,9/30/2024
5568,283,303,,Uninfected,1,,11/19/2024,Klebsiella,4,117,Bred,,124,11/4/2024
5886,283,152,3,Chronic,0,,,Staph species,1,73,Preg,79,224,11/4/2024
5908,230,93,2,Chronic,1,,5/17/2024,Staph species,1,91,Preg,171,286,11/4/2024
5967,230,3940,,Cure,2,,11/28/2024,No Growth,1,75,Bred,,90,11/4/2024
5950,200,1131,2,Chronic,0,,,Entrerococcus,1,69,Open,,101,11/4/2024
5965,200,1131,,Uninfected,1,,10/3/2024,Entrerococcus,1,80,Bred,,73,11/4/2024
5277,187,50,,Uninfected,1,1,8/11/2024,E. coli,6,97,DNB,,277,11/4/2024
5700,187,174,,Uninfected,0,,,,2,30,Dry,228,372,11/4/2024
5860,187,132,,Uninfected,0,,,Staph species,1,83,Preg,213,274,11/4/2024
5980,187,1056,,Uninfected,0,,,,1,118,Bred,,79,11/4/2024
5595,174,87,,Uninfected,0,,,No Growth,3,63,Preg,193,378,11/4/2024
5888,174,81,,Uninfected,1,,9/10/2024,Staph species,1,70,Preg,199,338,11/4/2024
5438,152,41,,Uninfected,0,,,,4,43,Dry,269,380,9/30/2024
5997,152,,,Uninfected,0,,,,1,49,Fresh,,37,11/4/2024
9787,152,31,,Uninfected,0,,,,6,117,Bred,,252,11/4/2024
5946,141,35,1,New Infection,1,,10/2/2024,No Growth,1,83,Bred,,193,11/4/2024
5489,132,13,,Uninfected,0,,,E. coli,4,55,Dry,262,340,9/30/2024
5465,115,246,,Cure,0,,,Pseudomonas,5,135,Bred,,126,11/4/2024
5198,107,41,,Uninfected,1,1,6/30/2024,Klebsiella,6,40,Dry,236,413,9/30/2024
5972,100,,,Uninfected,0,,,,1,87,Fresh,,53,11/4/2024
5481,93,31,,Uninfected,0,,,,4,42,Dry,248,334,9/30/2024
5728,93,23,,Uninfected,0,,,,2,68,Preg,199,299,11/4/2024
5820,87,132,,Uninfected,0,,,,2,130,Bred,,68,11/4/2024
5581,81,31,,Uninfected,0,,,,3,51,Dry,248,343,11/4/2024
5914,81,62,,Uninfected,0,,,,1,80,Preg,192,253,11/4/2024
5478,76,93,,Uninfected,0,,,No Growth,4,84,Preg,215,325,11/4/2024
5634,76,18,,Uninfected,0,,,,3,50,Dry,269,281,9/30/2024
5941,76,13,,Uninfected,0,,,,1,88,Preg,136,199,11/4/2024
5897,71,100,,Uninfected,1,,4/23/2024,Staph species,1,72,Dry,234,285,11/4/2024
5922,71,696,,Uninfected,1,,9/6/2024,Staph species,1,89,Preg,164,225,11/4/2024
5986,71,,,Uninfected,0,,,,1,65,Fresh,,53,11/4/2024
5607,62,22,,Uninfected,0,,,No Growth,3,104,Preg,74,323,11/4/2024
5909,62,62,,Uninfected,0,,,,1,81,Dry,234,283,11/4/2024
5774,57,62,,Uninfected,0,,,,2,91,Preg,192,258,11/4/2024
5460,54,107,,Uninfected,0,,,No Growth,4,69,Preg,143,445,11/4/2024
5505,54,23,,Cure,2,,7/28/2024,No Growth,4,107,Preg,108,169,11/4/2024
5884,54,41,,Uninfected,0,,,No Growth,1,73,Dry,255,284,9/30/2024
5406,50,20,,Uninfected,0,,,,5,65,Dry,248,292,11/4/2024
5745,50,38,,Uninfected,0,,,,2,65,Preg,115,312,11/4/2024
5597,47,13,,Uninfected,0,,,No Growth,4,134,Bred,,79,11/4/2024
5608,47,,,Uninfected,0,,,,4,114,Fresh,,43,11/4/2024
5674,47,20,,Uninfected,0,,,,2,49,Dry,247,461,11/4/2024
5928,47,214,,Uninfected,0,,,No Growth,1,101,Preg,87,251,11/4/2024
5519,44,13,1,New Infection,1,1,11/20/2024,E. coli,4,90,Dry,227,322,11/4/2024
5935,44,38,,Uninfected,0,,,,1,103,Preg,164,225,11/4/2024
5948,44,100,,Uninfected,0,,,,1,90,Preg,115,175,11/4/2024
5987,44,460,,Uninfected,0,,,,1,81,Bred,,77,11/4/2024
5332,41,27,,Uninfected,0,,,No Growth,6,111,DNB,,170,11/4/2024
5400,41,13,,Uninfected,0,,,,5,76,Dry,227,283,11/4/2024
5503,41,18,,Uninfected,1,,11/5/2024,A. pyogenes,4,78,Dry,241,283,11/4/2024
5572,41,15,,Uninfected,0,,,,3,88,Dry,241,429,11/4/2024
