EART,EvDateTime,EvType,AssoProt,Descr,RprProt,Proto,SpEvTyp
5465,11/20/2024,Enroll in protocol,,YMCP Vital Boluses - vet rx,,,Enroll in protocol
5590,11/20/2024,Enroll in protocol,,YMCP Vital Boluses - vet rx,,,Enroll in protocol
5495,12/27/2024,Enroll in protocol,,YMCP Vital Boluses - Indigestion tx dose 1,,,Enroll in protocol
5886,1/29/2025,Enroll in protocol,,YMCP Vital Boluses - Indigestion tx dose 1,,,Enroll in protocol
91709,10/4/2024,Enroll in protocol,,YMCP Vital Boluses - indigesiton tx  dose 1,,,Enroll in protocol
5641,11/6/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 2,,,Enroll in protocol
5700,1/25/2025,Enroll in protocol,,YMCP Vital Boluses - Dose 2,,,Enroll in protocol
6016,1/25/2025,Enroll in protocol,,YMCP Vital Boluses - dose 2,,,Enroll in protocol
5594,10/8/2024,Enroll in protocol,,YMCP Vital Boluses - dose 1,,,Enroll in protocol
5685,10/9/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 1,,,Enroll in protocol
6009,11/4/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 1,,,Enroll in protocol
5888,11/4/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 1,,,Enroll in protocol
5641,11/5/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 1,,,Enroll in protocol
5606,11/5/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 1,,,Enroll in protocol
5998,12/6/2024,Enroll in protocol,,YMCP Vital Boluses - dose 1,,,Enroll in protocol
10374,12/12/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 1,Double OVS 2PgF,,Enroll in protocol
5923,12/15/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 1,,,Enroll in protocol
6034,12/15/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 1,Double OVS 2PgF,,Enroll in protocol
5495,12/17/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 1,,,Enroll in protocol
6017,12/18/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 1,Double OVS 2PgF,,Enroll in protocol
6037,12/18/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 1,Double OVS 2PgF,,Enroll in protocol
5438,12/18/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 1,Double OVS 2PgF,,Enroll in protocol
5990,12/28/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 1,,,Enroll in protocol
5543,12/31/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 1,,,Enroll in protocol
5389,12/31/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 1,,,Enroll in protocol
5585,12/31/2024,Enroll in protocol,,YMCP Vital Boluses - Dose 1,,,Enroll in protocol
5975,9/6/2024,Enroll in protocol,,YMCP Vital Boluses,ReSync-GPG,,Enroll in protocol
5989,9/9/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5914,9/9/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5888,9/10/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5909,9/11/2024,Enroll in protocol,,YMCP Vital Boluses,Double OVS 2PgF,,Enroll in protocol
5975,9/11/2024,Enroll in protocol,,YMCP Vital Boluses,ReSync-GPG,,Enroll in protocol
5914,9/11/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5658,9/20/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5427,9/29/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5427,9/30/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5427,10/4/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5618,10/5/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5594,10/5/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
91709,10/6/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5642,10/10/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5608,10/20/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5984,10/20/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5972,10/21/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5997,11/2/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5937,11/20/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5919,11/23/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5474,11/23/2024,Enroll in protocol,,YMCP Vital Boluses,Reset GGPG,,Enroll in protocol
5870,11/23/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5983,11/23/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
74978,11/28/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5989,12/5/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
91409,12/11/2024,Enroll in protocol,,YMCP Vital Boluses,Double OVS 2PgF,,Enroll in protocol
5945,12/22/2024,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5489,12/23/2024,Enroll in protocol,,YMCP Vital Boluses,Double OVS 2PgF,,Enroll in protocol
5844,12/23/2024,Enroll in protocol,,YMCP Vital Boluses,Double OVS 2PgF,,Enroll in protocol
5370,1/6/2025,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5528,1/22/2025,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5837,1/23/2025,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5646,1/23/2025,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
6033,1/23/2025,Enroll in protocol,,YMCP Vital Boluses,Double OVS 2PgF,,Enroll in protocol
6016,1/23/2025,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5700,1/24/2025,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5370,1/24/2025,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5528,1/31/2025,Enroll in protocol,,YMCP Vital Boluses,,,Enroll in protocol
5604,1/6/2025,Enroll in protocol,,YMCP Drench - YMCP drench and mineral oil,,,Enroll in protocol
5489,12/22/2024,Enroll in protocol,,YMCP Drench - watery diarrhea,Double OVS 2PgF,,Enroll in protocol
5870,9/15/2024,Enroll in protocol,,YMCP Drench - Very low ruminations  milk was down  moved from 807 to 202. drenched ymcp and 0.5 gal mineral oil.,,,Enroll in protocol
5076,9/17/2024,Enroll in protocol,,YMCP Drench - plus 0.5 gal mineral oil rumination is 100 below average,,,Enroll in protocol
5692,10/15/2024,Enroll in protocol,,YMCP Drench - low intake  drenched YMCP  mineral oil.,,,Enroll in protocol
5637,1/4/2025,Enroll in protocol,,YMCP Drench - intake dropped to 15lbs. drenched ymcp 5 gal,,,Enroll in protocol
5427,10/1/2024,Enroll in protocol,,YMCP Drench - also 1 gal mineral oir  and 1 bottle therablot,,,Enroll in protocol
5519,1/21/2025,Enroll in protocol,,YMCP Drench - added 1 gallon kao pectate for diarrhea,,,Enroll in protocol
5804,11/12/2024,Enroll in protocol,,YMCP Drench - 7 gal,,,Enroll in protocol
5605,12/13/2024,Enroll in protocol,,YMCP Drench - 5gal ymcp drench,Double OVS 2PgF,,Enroll in protocol
