CowID,Date,Day,Height ,LeftAttachedCurve,RightAttachedCurve,
5977,12/1/2024,1,400.79,132.24,128.66,
5977,12/2/2024,2,402.17,129.19,126.95,
5977,12/3/2024,3,401.95,126.35,129.93,
5971,12/1/2024,1,409.87,134.21,143.17,
5971,12/2/2024,2,407.32,131.56,141.63,
5971,12/3/2024,3,406.84,166.93,158.01,
5960,12/1/2024,1,415,182.09,188.01,
5960,12/2/2024,2,417,173.44,194.54,
5960,12/3/2024,3,415.66,190.21,219.71,
5955,12/1/2024,1,465,182.55,170.39,
5955,12/2/2024,2,481.59,207.52,210.73,
5955,12/3/2024,3,462.69,234.28,199.6,
5948,12/1/2024,1,459.06,183.7,158.86,
5948,12/2/2024,2,455.04,189.32,174.42,
5948,12/3/2024,3,456.16,177.51,162.93,
5946,12/1/2024,1,433.64,156.15,117.89,
5946,12/2/2024,2,434,158.08,167.64,
5946,12/3/2024,3,439.67,163.16,143.99,
5945,12/1/2024,1,420.99,132.05,123.5,
5945,12/2/2024,2,445.6,143.05,136.87,
5945,12/3/2024,3,435.6,137.54,153.06,
5944,12/1/2024,1,510.45,153.64,210.77,
5944,12/2/2024,2,462,150.37,154.68,
5944,12/3/2024,3,500.95,114.21,139.47,
5943,12/1/2024,1,411,105.4,98.85,
5943,12/2/2024,2,414.89,98.18,138.7,
5943,12/3/2024,3,417.69,122.69,107.73,
5942,12/1/2024,1,455.74,167.23,166.36,
5942,12/2/2024,2,429,151.78,143.64,
5942,12/3/2024,3,435.92,194.86,218.35,
5941,12/1/2024,1,393.84,178.85,181.75,
5941,12/2/2024,2,411,148.31,128.52,
5941,12/3/2024,3,380.11,132.6,153.38,
5938,12/1/2024,1,431.06,117.54,140.03,
5938,12/2/2024,2,415.63,122.99,125.42,
5938,12/3/2024,3,390.96,142.9,177.65,
5937,12/1/2024,1,409.57,173.22,170.69,
5937,12/2/2024,2,423,163.23,152.42,
5937,12/3/2024,3,384.72,144.92,136.46,
5933,12/1/2024,1,431.76,159.62,162.91,
5933,12/2/2024,2,460.15,139.03,172.89,
5933,12/3/2024,3,443.74,144.92,163.04,
5929,12/1/2024,1,452.54,178.14,161.67,
5929,12/2/2024,2,446.1,203.83,181.21,
5929,12/3/2024,3,450,163.09,148.75,
5915,12/1/2024,1,424.18,189.16,195.17,
5915,12/2/2024,2,431.49,227.49,203.39,
5915,12/3/2024,3,425.15,140.07,169.3,
5913,12/1/2024,1,469.6,185.42,189,
5913,12/2/2024,2,470.05,162.26,184.37,
5913,12/3/2024,3,459.97,178.28,216.14,
5837,12/1/2024,1,486,223.86,233.14,
5837,12/2/2024,2,508.15,200.5,192.84,
5837,12/3/2024,3,492,197.29,242.98,
5590,12/1/2024,1,501.5,210.05,184.85,
5590,12/2/2024,2,487.69,181.24,203.03,
5590,12/3/2024,3,478.55,198.33,218.42,
5577,12/1/2024,1,565.85,221.84,225.84,
5577,12/2/2024,2,570,212.05,244.37,
5577,12/3/2024,3,546.09,202.65,207.07,
5245,12/1/2024,1,538.27,243.59,256.44,
5245,12/2/2024,2,524.24,254.28,283.67,
5245,12/3/2024,3,515.84,243.5,263.01,
5246,12/5/2024,1,536.42,217.08,257.67,
5246,12/6/2024,2,544,215.49,222.12,
5246,12/7/2024,3,541.54,242.61,213.59,
5277,12/5/2024,1,583.78,209.69,191.43,
5277,12/6/2024,2,560.36,204.06,178.41,
5277,12/7/2024,3,520.95,198.86,195.52,TOP CUT OFF
5370,12/5/2024,1,573.13,189.58,198.37,
5370,12/6/2024,2,562.77,179.46,206.56,
5370,12/7/2024,3,553.84,185.24,197.5,
5387,12/5/2024,1,615.52,191.52,243.31,
5387,12/6/2024,2,620.55,189.02,204.79,
5387,12/7/2024,3,615.33,189.66,217.61,
5389,12/5/2024,1,571.15,192.75,236.9,
5389,12/6/2024,2,559.14,155.47,219.47,
5389,12/7/2024,3,558,136.46,215.26,
5437,12/5/2024,1,541.64,161.68,240.11,
5437,12/6/2024,2,553.73,177.01,244.44,
5437,12/7/2024,3,552,160.04,233.13,
5465,12/5/2024,1,540.51,272.47,227.7,
5465,12/6/2024,2,540,243.99,217.66,
5465,12/7/2024,3,542.94,250.03,226.03,
5475,12/5/2024,1,524.74,195.91,144.69,
