CowID,Vertical,Lateral,Left_Quarter,Right_Quarter,Initials,Date,Study_Day
5245,44.2,14,26,28,IB,12/1/2024,1
5246,53.7,14.4,24.2,23.2,IB,12/5/2024,1
5277,56.8,12,18.3,20.2,IB,12/5/2024,1
5370,57.2,13.3,17.4,19.5,IB,12/5/2024,1
5387,57.8,9.8,16.8,19.8,IB,12/5/2024,1
5389,56.4,11.2,18.2,21,IB,12/5/2024,1
5437,58.7,11.5,17.5,20,IB,12/5/2024,1
5465,57.4,16.5,23,26.7,IB,12/5/2024,1
5475,54.2,10,20.2,12.7,IB,12/5/2024,1
5532,60.2,13,22.5,28.7,IB,12/5/2024,1
5543,52.2,11.8,15,17.8,IB,12/5/2024,1
5554,47.5,11.5,14.7,16,IB,12/5/2024,1
5561,50,13.8,17.5,21.2,IB,12/5/2024,1
5568,49.7,13.5,16.4,17.5,IB,12/5/2024,1
5577,51,13.9,21.5,22.4,IB,12/1/2024,1
5590,46.3,12.2,22,24.2,IB,12/1/2024,1
5604,51,11.4,19.2,20.5,IB,12/5/2024,1
5684,51.3,12.5,17.8,23.2,IB,12/5/2024,1
5753,48,14.2,22.3,19.6,IB,12/5/2024,1
5769,46.2,12.9,16.4,18.5,IB,12/5/2024,1
5837,46.2,15.7,21.2,19.2,IB,12/1/2024,1
5913,49.2,14.4,19,19.8,IB,12/1/2024,1
5915,43,15.3,20.5,21,IB,12/1/2024,1
5929,48.2,13,19,19.3,IB,12/1/2024,1
5933,37.5,12.3,17.5,16.7,IB,12/1/2024,1
5937,43.5,15,17.4,16.2,IB,12/1/2024,1
5938,31,9.4,13,16,IB,12/1/2024,1
5940,48,14,21,19.8,IB,12/5/2024,1
5941,32.5,14.3,14.5,14.5,IB,12/1/2024,1
5942,46,12.2,16,15.5,IB,12/1/2024,1
5943,45.2,9,11.8,10.5,IB,12/1/2024,1
5944,49.2,16.5,18.7,18.2,IB,12/1/2024,1
5945,41,9.3,15.5,14.2,IB,12/1/2024,1
5946,37.2,13.3,16,15.3,IB,12/1/2024,1
5948,44.6,14.4,21,20.5,IB,12/1/2024,1
5955,42,16.8,23.5,20.2,IB,12/1/2024,1
5960,36,15.8,20,21.5,IB,12/1/2024,1
5971,33.5,12.2,14.5,13.7,IB,12/1/2024,1
5977,38.5,9.5,16.5,14,IB,12/1/2024,1
86245,52,15,23,22.4,IB,12/5/2024,1
5245,50.4,13.2,25.4,29.1,JS,12/1/2024,1
5246,50.3,15.4,25,24.1,JS,12/5/2024,1
5277,58.3,10.7,19.2,18.2,JS,12/5/2024,1
5370,53.7,13.2,18.4,20.1,JS,12/5/2024,1
5387,63.5,11.4,21.2,24.4,JS,12/5/2024,1
5389,53.5,11.3,16.9,22.3,JS,12/5/2024,1
5437,52.3,14.2,19,23.6,JS,12/5/2024,1
5465,54.4,15.8,24.5,28,JS,12/5/2024,1
5475,51.8,10.5,21.4,13.6,JS,12/5/2024,1
5532,58,13.1,21.9,29.5,JS,12/5/2024,1
5543,48.1,13,17.4,16.9,JS,12/5/2024,1
5554,45.2,10.7,16.7,16.3,JS,12/5/2024,1
5561,49.5,13.4,18,19.6,JS,12/5/2024,1
5568,52.2,12.5,19,17.7,JS,12/5/2024,1
5577,58.2,13.6,19.2,26.7,JS,12/1/2024,1
5590,46.4,11.1,21.9,26.4,JS,12/1/2024,1
5604,46.5,11.4,17.1,21.7,JS,12/5/2024,1
5684,50.5,12.9,19.3,25,JS,12/5/2024,1
5753,50.2,13.6,18.3,16.8,JS,12/5/2024,1
5769,46.2,14,15.6,16.3,JS,12/5/2024,1
5837,50,13.7,21.5,23.2,JS,12/1/2024,1
5913,47.6,12.6,18.6,19.7,JS,12/1/2024,1
5915,45.8,15.3,18.9,20,JS,12/1/2024,1
5929,45.7,13.7,21.9,20.9,JS,12/1/2024,1
5933,43.8,11.2,16.3,21.5,JS,12/1/2024,1
5937,41,12.2,16.1,15.5,JS,12/1/2024,1
5938,38.9,10,13.2,16.4,JS,12/1/2024,1
